Hän lukeutuu Googlen varhaisiin työntekijöihin ja aikanaan hän jopa vuokrasi autotallinsa vasta syntyneen yhtiön perustajille Larry Pagelle ja Sergei Brinille .	Larry Pagelle, Sergei Brinille
Valven pomo Gabe Newell on osoittanut epäluuloa Windows 8:aa kohtaan alusta asti .	Gabe Newell
5. Nokia Lumia 925	NONE
"Hakkeri Andrew "" Bunny "" Huangin kannettava tietokone poikkeaa massasta ."	"Andrew "" Bunny "" Huangin"
F-Securen pilvipohjaisten tietoturvatuotteiden johtaja Janne Pirttilahti arvioi puhelimen mahdollisuuksia Digitodaylle laitteesta saatujen ennakkotietojen perusteella .	Janne Pirttilahti
– On paljon helpompaa sulkea liikenne pankkia ympäröiviltä kaduilta kuin murtautua sen holviin , vertaa Hyppönen .	Hyppönen
Kilpailu parhaasta työvoimasta on kovaa Piilaaksossa , ja terävimpiä aivoja houkutellaan suurilla palkoilla .	NONE
Paulin mukaan lennokkeja tulee käyttää ainoastaan perustuslain mukaisesti .	Paulin
Mutta nämä numerot ovat puhdasta mielikuvitusta , Shaw vakuutti .	Shaw
Filmintekijä Steve Zeltzer , joka on asunut koko ikänsä San Franciscossa , puhui luokkasodasta ja suitsimattomasta kapitalismista .	Steve Zeltzer
Edellisen kerran ketju teki päivityksen viime vuoden toukokuussa , Wood kertoi The Vergelle .	Wood
Seurauksena lennokki teki kaikkea muuta ja syöksyi lavasteiden ulkopuolelle lopulta melkein osuen kameramieheen .	NONE
Yksi esimerkki on Targetin lupaama 100 miljoonan dollarin satsaus maksupäätteiden päivittämiseksi niin , että ne tukevat jatkossa Euroopassa jo varsin yleisiä sirukortteja .	NONE
Daily Banterista on tosin turha etsiä objektiivisuutta , sillä jutun kirjoittaja vastustaa avoimesti Edward Snowdenin toimintaa .	Edward Snowdenin
— Mutta ainakin he ottivat vastuun siitä , Hyppönen sanoo .	Hyppönen
Ihamuotila : Tuplasimme Lumia-myynnin	Ihamuotila
Brendan Eich ehti olla toimitusjohtaja vain parin viikon ajan .	Brendan Eich
Mars jatkaa meidän yllättämistämme aivan kuten tehtävän ensimmäisellä viikolla , päätiedemies Steve Squyres sanoo tiedotteessa .	Steve Squyres
NSA:lla työskennellyt Snowden aloitti tietovuotonsa viraston toiminnasta viime vuoden kesäkuussa .	Snowden
Sama nainen oli jo kerran välttynyt sakoilta .	NONE
Viestintäviraston esimerkkiviestissä liitetiedoston nimi on cuteys.zip , mutta muita tavattuja nimiä ovat esimerkiksi banjoes.zip , disgruntled.zip , facto.zip ja tutty.zip .	NONE
"GlobalWebIndexin johtaja Jason Mander sanoi Guardianille , että "" Netflix ampuisi itseään jalkaan , jos estäisi tuon verkkoliikenteen "" ."	Jason Mander
Tai junamatkustajia operaattorikohtaiset erot junaosuuksilla .	NONE
"Hän kehui kuitenkin puhelimia siitä , että ne tuovat Nokia-laitteiden pariin "" seuraavan miljardi käyttäjää "" ."	NONE
Internetissä toimineen huumekaupan Silk Roadin perustajaksi ja pyörittäjäksi väitetty Ross Ulbricht tuomittiin keskiviikkona syylliseksi kaikista seitsemästä syytteestä häntä vastaan .	Ross Ulbricht
Uusia asiakkaita lähdetään etsimään julkaisemalla oma olohuoneen peli- ja viihdekeskus Steam Machine , jonka käyttöjärjestelmänä toimii Linux .	NONE
JellyBeanin osuus on kaikkiaan 44,5 prosenttia .	NONE
Jupakan myötä Targetin johdosta lähtevä Gregg Steinhafel puolestaan kuittaa mukaansa 55 miljoonaa dollaria korvauksia ja muita etuuksia , vaikka moni toimenpide hänen alaisuudessaan korttimurron aikana ja sen jälkeen ei ole kestänyt lähempää tarkastelua .	Gregg Steinhafel
Entistä litteämmät kuvakkeet seurailisivat alan laajempaa trendiä .	NONE
Ne ovat kuitenkin jossain määrin suhteellisia .	NONE
Näin kirjoittaa 9to5Mac , joka lainasi suunnitelmista tietäviä henkilöitä .	NONE
Liikevoitto kasvaa 375 miljoonalla eurolla .	NONE
Zuckerberg puhui pekingiläisen yliopiston tilaisuudessa lokakuussa pelkästään kiinaa , mikä teki yleisöön vaikutuksen .	Zuckerberg
Suurin osa puhelimen omistajista on silti turvassa , sillä haitakkeen leviäminen pc:stä Androidiin vaatii debug-tilaa .	NONE
Teipin tarkoitus oli viestiä , että kyseistä automaattia ei ole viritetty niin sanotulla skimmerillä , joka lukee maksukortin tiedot varkaille .	NONE
Näin sanoo tietoliikenneasiantuntija Esko Yliruusi , joka oli mukana kehittämässä julkaisematta jäänyttä Nokian tablettia vuonna 2001 .	Esko Yliruusi
Asia kävi ilmi oikeuden asiakirjoista , jotka liittyvät epäiltyyn väärien luottokorttien kauppaan .	NONE
Kuo on usein aiemmin osunut melko oikeaan Apple-arvioissaan .	Kuo
Oculus Rift on ollut viime aikoina otsikoissa , kun teknologiaguru John Carmack jätti paikkansa iD Softwarella ja keskittyy ainoastaan Oculus Riftin kuluttajamallin saamiseen valmiiksi .	John Carmack
Se on ihan oikeaa rahaa , mutta Brian Krebs ei sitä halua pitää .	Brian Krebs
Kalenteri ilmestyy lähiaikoina käyttäjän kotisivun vasempaan laitaan .	NONE
Ericssonin toimitusjohtaja Hans Vestberg sanoi tiedotteessa yrityksen olevan johtaja radioverkoissa , mutta haastaja pilvi- ja ip-sektoreilla , jotka ovat elintärkeitä matkalla 5G:hen .	Hans Vestberg
Tiedot käyvät ilmi taloudellisia kytköksiä koskevista raporteista , jotka Alexander teki vuosina 2009—2014 .	Alexander
Väyrysen mukaan Suomi24 lähettänyt kaikille virheestä kärsineille käyttäjille kehotuksen vaihtaa salasanansa .	Väyrysen
Etujen myöntäminen ei saa kaikkien suosiota .	NONE
Vuonna 2013 Mukeshin teleoperaattori vuokrasi Anilin yhtiöltä matkapuhelinmastoja ja valokuituverkkoa 4G-palvelun perustaksi .	Mukeshin, Anilin
Akkukin kestää peruskäytöllä pitkälle toisen vuorokauden puolelle .	NONE
Tämän vahvistaa Microsoft-pomo Chris Weber , joka sanoo :	Chris Weber
Applen lisäksi Samsungin kakusta haukkasivat palasia muun muassa Lenovo-Motorola ja Huawei .	NONE
Kalenteri on ilmeisen tervetullut uudistus , ainakin päätellen käyttäjä Ryan Mottin kommentista Glass-blogissa :	Ryan Mottin
Kuten usein on tapana , uhreja juksataan aidon näköisellä verkkopankin kirjautumissivulla .	NONE
Nokia 225 on halpa , vaikkei kilpailekaan aivan kasvavien markkinoiden edullisimpien puhelinten kanssa .	NONE
Rovion osakkeista 68 prosenttia kuuluu Kaj Hedille , joka käyttää valtaansa sen mukaisesti .	Kaj Hedille
Hyppönen vahvisti asian Twitterissä tviittaamalla uutisen edelleen .	Hyppönen
Kantarin johtajan Dominic Sunnebon mukaan Windows Phonen ongelmaksi on muodostunut Nokian strategia , jossa tavoiteltiin asiakkaita , jotka ostivat ensimmäisen älypuhelimensa .	Dominic Sunnebon
– Jos Google Calendaria käyttää verkossa ja otsikkoriville laittaa Gmail-osoitteen , tämä käyttäjä saa saman merkinnän omaan kalenteriinsa , Eden antaa esimerkin .	Eden
Yhtiön mukaan uusi päivitys ei koske niitä , jotka eivät koskaan saaneet joulukuussa julkaistua firmware-päivitystä .	NONE
Uber sanoo testanneensa paniikkinappuloita ja havainneensa , että ne ovat alttiita vikaantumiselle ja kulumiselle .	NONE
Jos fuusio tapahtuu , Legeren ennustetaan nousevan uuden yhtiön johtoon .	Legeren
Myös presidentti Obaman kyberturvallisuuden pääneuvonantaja Michael Danielilla on sairausvakuutus Anthemissa .	Obaman, Michael Danielilla
StatCounter ei eritellyt Windows 8.1:n osuutta .	NONE
Sivuston pyörittämisen yhteydessä Ulbrichtin väitetään jopa yrittäneen kuutta palkkamurhaa , joskin ei ole näyttöä , että murhia olisi tehty .	Ulbrichtin
Taulutietokoneiden ja kaksikäyttöisten , myös tableteiksi muuntuvien hybridilaitteiden myyntiluvuissa ei ole hurraamista myöskään , vaikka niitä verrataan vuoden 2013 alkukauteen , sillä 50,4 miljoonan toimitetun laitteen määrä merkitsee vain 3,9 prosentin kasvua .	NONE
Kankar on aiemmin tuomittu verkkomadon luomisesta , joka kiersi MySpace-verkkosivustolla .	Kankar
VLC:stä vastaava VideoLan-projekti sai tietää haavoittuvuuksista alle kuukausi sitten 26. joulukuuta , joten niiden paljastaminen jo nyt tuntuu kyseenalaiselta .	NONE
– Minulla on haavoja päässäni lennokista , ja ambulanssin väki otti propellinpalasen päästäni , Ogden sanoi The West Australian -lehdelle .	Ogden
Elon Muskin SpaceX oli lähellä onnistua Falcon 9 -raketin ensimmäisen vaiheen palauttamisessa ehjänä maahan lauantaina laukaisun jälkeen .	Elon Muskin
– Emme ole kaikkea candy-sanan käyttämistä vastaan – joskus käyttö on legitiimiä ja emme tietenkään pyytäisi sellaisia sovelluskehittäjiä lopettamaan sanan käyttämistä , Kingin Martin Bunge-Meyer sanoo .	Martin Bunge-Meyer
Fredriksonin mielestä kauppa ei petä F-Securen asiakkaita tai aiheuta kolausta yhtiön maineelle .	Fredriksonin
Asiasta kertoi vihreiden edustaja Oras Tynkkynen , joka vertasi puhetta ja järjestöjen kannanottoa toisiinsa Facebookissa .	Oras Tynkkynen
Osa sai uusia töitä Nokialta , mutta Yliruusi hakeutui monien muiden tavoin muualle .	Yliruusi
Nyt varovaisena : Tämä kiristäjä vaatii jättilunnaat	NONE
Tapauksesta kertoo uutistoimisto AP esimerkiksi Yahoo Newsissa .	NONE
Marviala ei halua kommentoida kyseessä olevaa laitetta mutta kertoo , että osassa Otto-automaatteja on käytössä Windows XP -käyttöjärjestelmä .	Marviala
Tails OS menee salamyhkäisyydessään jopa siihen asti , että käyttöjärjestelmä voi käyttäjän niin halutessa naamioitua muistuttamaan ulkonäöltään Windows XP:tä .	NONE
Mistä päästäänkin itse pihviin , eli onko Obama luopumassa muokatusta Blackberrystään ?	Obama
Radionomyn perustaja ja pääjohtaja Alexandre Saboundjian kertoi kaupasta monien muiden ohella uutisoivalle TechCrunchille , että tarkoitus on tarjota Winamp-sovellusta aivan sellaisena kuin se nyt on ryyditettynä Radionomyn 60\_000 nettiradioasemalla .	Alexandre Saboundjian
Tablettien toimitus alkaa huhti–kesäkuussa .	NONE
Häntä palkittiin muun muassa yrityksen myymisestä SoftBankille .	NONE
Uudeksi toimitusjohtajaksi nimitettiin tänään Nokian verkkoliiketoimintaa johtanut Rajeev Suri .	Rajeev Suri
"– Onko "" muutama "" sekunti sinusta ok , F-Securen Sean Sullivan kysyy yhtiönsä blogissa ."	Sean Sullivan
NPR:n haastattelussa Sørensen sanoi , että hän sai uudesta proteesista heti hyvän tuntuman .	Sørensen
Youtubea johtanut Salar Kamangar pysyy Googlessa ja alkaa kehitellä omia varhaisen asteen projektejaan .	Salar Kamangar
Uusi mallisarja on huomattavasti edeltäjäänsä tehokkaampi , minkä lisäksi myös Microsoft on kiinnostunut siitä .	NONE
Metro-sovellusten sulkeminen ei siis ilmeisesti enää jatkossa edellytä ylimääräisiä hiiren liikkeitä tai näppäinoikoteiden käyttöä .	NONE
Nämä eleet menivät ainakin itselläni silloin tällöin sekaisin , eli siirryin pois ohjelmasta , kun tarkoitus oli siirtyä valikossa taaksepäin .	NONE
Elon Muskin mukaan uusi yrityskään ei ole sieltä helpoimmasta päästä .	Elon Muskin
Edward Snowdenin myötä mainetta saanut Linux-jakelu naamioituu tarvittaessa vaikka Windows XP:ksi .	Edward Snowdenin
Laitevalmistus on riskialtista , kovasti kilpailtua ja heikosti kannattavaa , Rautanen sanoo .	Rautanen
Netflix julkaisi mukavat talousluvut viime vuoden viimeiseltä neljännekseltä .	NONE
Sullivan listaa kolme taiwanilaista teknologiayritystä – RealTek , JMicron ja C-Media – jotka Yhdysvallat on väitetysti murtanut varastaakseen digitaalisia varmenteita Stuxnet- ja Duqu-haittaohjelmia varten .	Sullivan
Se osoittaa syvän virheen siinä , että yhtiö ei joko tiedä tai välitä , mitä se pakkaa kannettaviensa mukaan , Graham tulkitsi Reutersille .	Graham
Snowden etsi turvapaikkaa muun muassa Latinalaisesta Amerikasta , mutta mahdollisuudet turvalliseen lentoon eivät näyttäneet kummoisilta , kun jopa Bolivian presidentin lentokone pakotettiin maahan , koska Snowdenin epäiltiin olleen kyydissä .	Snowden, Snowdenin
Google maksaa takaisin kaikille , jotka ostivat Google Play -kaupassa tarjotun Virus Shield -sovelluksen 3,99 dollarilla .	NONE
Toistaiseksi saatavilla olevat tiedot eivät sulje pois hyökkäyksen mahdollisuutta .	NONE
Lizard Squad -hyökkäyskoplan oletettuja jäseniä paljastanut tietoturvatutkija Brian Krebs tuskastelee erikoisen ongelman kanssa ja pyytää apua .	Brian Krebs
Niitä ei ole toistaiseksi näkynyt .	NONE
Opettajien tieto- ja viestintätekniikan osaamisessa on tutkitusti paljon puutteita .	NONE
Tosiasiassa kansalaisaloite ei paranna esittävien taiteilijoiden , tekijöiden ja sisällöntuottajien asemaa eikä palvele parempia laillisia palveluja haluavien kuluttajien etua .	NONE
Asiasta uutisoi myös Cnet .	NONE
Johtaja Jo on joka tapauksessa pyytänyt tilannetta anteeksi luonnehtien sitä tarpeettomaksi riitelyksi .	Jo
Toimittajille näytettiin HoloLensin toimintaa kontrolloidussa ympäristössä , mutta juuri mitään ei kerrottu heidän kokemuksensa ulkopuolelta .	NONE
Edward Snowden oli joko taitavasti sijoittunut tai vain varsin onnekas ladatessaan NSA:n salaisuudet .	Edward Snowden
Hyvä uutinen on kuitenkin se , että tällä hetkellä Jamie Oliverin sivut tarjoilevat sitä , mitä niiltä voi odottaakin : herkullisia reseptejä .	Jamie Oliverin
FCC itse loi perustan nykyiselle tilanteelle vuonna 2002 , jolloin se puheenjohtaja Michael Powellin alaisuudessa luokitteli kaapelimodeemipalvelut tietopalveluksi televiestintäpalvelujen asemesta .	Michael Powellin
Useita näyttäviä hakkeri-iskuja tehnyt Syrian Electronic Army -ryhmä joutui maistamaan omaa lääkettään , kun turkkilainen TurkGuvenligi -hakkeriryhmä murtautui sen verkkosivulle , kertoo tietoturva-asiantuntija Graham Cluley blogissaan .	Graham Cluley
Samaan aikaan kongressille aiotaan suosittaa Snowdenin paljastaman televakoilun lopettamista .	Snowdenin
OP kertoo Twitterissä , että yksittäisiä ongelmia palveluiden käytössä saattaa vielä ilmetä , mutta häiriötä selvitellään edelleen .	NONE
Määräys koski Microsoftia , jonka amerikkalaistuomari James Francis määräsi joulukuussa luovuttamaan Irlantiin tallennettua tietoa .	James Francis
Nadella kertoo , että hän on pyytänyt yhtiön perustajaa Bill Gatesiä pyhittämään lisää aikaansa Microsoftille .	Nadella, Bill Gatesiä
Pankkikorteilla maksaminen sekä automaattinostot onnistuvat Nikkasen mukaan jälleen , mutta verkkopankin toiminnassa voi yhä olla ongelmia .	Nikkasen
"Novenan on rakentanut Sean “ xobs ” Cross yhdessä Andrew "" Bunny "" Huangin kanssa ."	"Sean, xobs, Cross, Andrew "" Bunny "" Huangin"
Koottuja tietoja analysoitiin Prefer-nimisellä ohjelmalla .	NONE
Ouluun toimiston perustaneen taiwanilaisen siruvalmistaja MediaTekin joulukuu sujui iloisissa merkeissä , sillä myynti kasvoi 30 prosenttia edellisvuodesta ja veti koko vuoden myynnin kasvuun .	NONE
Tämän vuoksi Aavikko ei voi kommentoida Jollan menestystä koko Suomen mittakaavalla .	Aavikko
Uudelleen lähetettyjen ja oikaistujen kurssivahvistusten mukana lähti lokitiedosto , jossa oli 13\_600 ihmisen sähköpostiosoitteet .	NONE
Washington Post viittasi myös suomalaisen “ Ryanin ” haastatteluun .	Ryanin
Brian Krebsin tietoturvablogi on ollut ajoittain saavuttamattomissa palvelunestohyökkäyksen vuoksi .	Brian Krebsin
Hän ei lähde arvuuttelemaan neuvotteluiden tulosta .	NONE
Hein kertoo harrastuksekseen bongailun .	Hein
– Se on kaikkein todennäköisintä sen perusteella , mitä minä hänestä tiedän , Ander sanoo ComputerSwedenille .	Ander
Snowden elää maanpaossa Venäjällä ja Yhdysvalloissa häntä odottavat jopa elinkautisen tuomion mahdollistavat syytteet .	Snowden
Myös Nokian johdosta Microsoftin laitedivisioonan johtoon siirtynyt Stephen Elop puhui ennen nimitystään Xboxista irtautumisesta .	Stephen Elop
Yhdysvaltain keskustiedustelupalvelu CIA:n entinen varajohtaja Mike Morell joutui käsittelemään vaikeaa kysymystä CBS:n Face the Nation -ohjelman grillauksessa .	Mike Morell
Cook kertoi älykellon aikataulusta Applen osavuosikatsaukseen liittyvässä konferenssipuhelussa .	Cook
Ruotsalaisen verkkovalmistaja Ericssonin toimitusjohtaja Hans Vestberg on yksi ehdokas ohjelmistojätti Microsoftin uudeksi toimitusjohtajaksi , uutistoimisto Bloomberg kertoo viitaten nimettömiin neuvottelulähteisiinsä .	Hans Vestberg
Analyysiyhtiö Inderesin toimitusjohtaja Mikael Rautasen mukaan Nokia-puhelimia saatetaan nähdä , kun Microsoftin kanssa solmittu sopimus sallii Nokialle paluun puhelinmarkkinoille vuonna 2016 .	Mikael Rautasen
Nimittäin yhdysvaltalaisen Dynamic Internet Technologyn verkkosivuille .	NONE
Facebookin ja internetin keskinäinen suhde ei ole kaikille selvä , kirjoittaa Quartz .	NONE
Mitä ihmettä : Nytkö Gmail taas toimii ?	NONE
Netflixin viestintä- ja teknologiajohtaja Cliff Edwards lisäsi , että media tarttui yhteen väitteeseen , joka oli perätön .	Cliff Edwards
Krissler sanoi , että hänen valokuvansa merkitys on siinä , ettei tietomurtajien tarvitse hankkia enää käsiinsä uhrin käsitteleviä esineitä päästääkseen käsiin sormenjälkiin .	Krissler
Videoiden suoratoistopalvelu Netflix ja Verizon ilmoittivat maanantaina sopimuksesta , joka nopeuttaa Netflixin tilaajien videostriimausyhteyksiä .	NONE
nimimerkki Ykskamu kirjoitti Suomi24-foorumilla keskiviikkoiltana .	Ykskamu
Windows 9:n kehitystyö on Thurrottin tietojen mukaan tarkoitus jakaa kolmeen välivaiheeseen .	Thurrottin
Puhelimien nykyisiin litiumioniakkuihin nimittäin mahtuu yhä enemmän virtaa samaan tilaan kuin Storedotin pika-akkuihin .	NONE
Lisäksi ulkomailla olevilla asiakkailla voi olla yhä vaikeuksia päästä OP:n verkkopalveluun .	NONE
Kuulette suunnitelmistamme paljon enemmän ennen kiinalaista uutta vuotta , Belfiore kirjoitti Weibossa .	Belfiore
– Tällaisena muutoksen aikana Satya Nadella on paras ihminen johtamaan Microsoftia , sanoo yhtiön perustaja , hallituksen puheenjohtaja Bill Gates tiedotteessa .	Satya Nadella, Bill Gates
Mark Zuckerberg tahtoo haasteen : Onko sinulla idea ?	Mark Zuckerberg
Google alkaa kuunnella sinua	NONE
– Haastattelussa hakkeri puhuu ensin admin-sivujen murrosta , ja sitten toisessa vastauksessa Facebook-sivuista .	NONE
Vakoilulla on paikkansa , NSA-vuotaja Edward Snowden katsoi kysy ja vastaa -sessiossa .	Edward Snowden
Videoissa Luckey muun muassa sanoi , että Oculus Riftin kuluttajaversion virkistystaajuus on yli 90 hertsiä ja tarkkuus yli 1080p .	Luckey
Steve Bennett ei innovoinut tarpeeksi ja joutui kokemaan edeltäjänsä kohtalon lyhyen pestin jälkeen .	Steve Bennett
Uutistoimisto Reutersin mukaan sovusta ilmoittanut Ericssonin aineettoman omaisuuden yksikön johtaja Kasim Alfalahi ei kertonut , kuinka pitkään Samsungin kanssa tehtävä sopimus on voimassa , mutta yleensä patenttisopimukset kestävät neljästä seitsemään vuotta .	Kasim Alfalahi
Sen tarjoama Google Apps for Work -ohjelmistopaketti pyrkii saamaan hallitsevan aseman toimisto-ohjelmamarkkinoilla .	NONE
– Valitettavasti maa ei ole tällä hetkellä yhteensopiva internet-liiketoiminnan kanssa , Durov tyytyi muotoilemaan .	Durov
– iPhonet olivat selvästi tämän joulun ykköslahjoja , toteaa Soneran laiteliiketoiminnasta vastaava Markku Saranpää tiedotteessa .	Markku Saranpää
Tiedot vahvistavat NSA-asiakirjoista jo aiemmin selvinneitä seikkoja , kuten sitä , että PGP on aiheuttanut NSA:lle päänvaivaa .	NONE
He lähettivät pankkien henkilökunnalle Venäjän pankkiregulaattorin nimissä viestejä , jotka sisälsivät haittaohjelmia .	NONE
"Blackberry puolestaan ilmoitti , että se on "" tietoinen tietyistä lehdistössä julkaistuista raporteista , jotka liittyvät Samsungin mahdolliseen tarjoukseen ostaa Blackberry "" ."	NONE
New York Times : Antakaa jo armoa Snowdenille	Snowdenille
Brendan Eich ei näytä kommentoineen toistaiseksi asiaa .	Brendan Eich
Mutta työ saattaa jäädä kesken .	NONE
The Pirate Bay on joutunut sensuurin kohteeksi useassa maassa .	NONE
Voi olla , että peli muuttuu itseään toistavaksi tai siinä ei ole pelaajalle edistymisen tunnetta .	NONE
Perjantaina Lenovon teknologiajohtaja Peter Hortensius otti lusikan kauniiseen käteen .	Peter Hortensius
Nintendon pääjohtaja Satoru Iwata kertoi eilisen tulosjulkistuksen yhteydessä yhtiön suunnittelevan uutta liiketoimintamallia .	Satoru Iwata
"Nettipoliisi Marko "" Fobba "" Forss nousi otsikoihin Kiinassa"	"Marko "" Fobba "" Forss"
Oraclen päivityksistä kertoivat Oraclen lisäksi muun muassa Softpedia ja Kyberturvallisuuskeskus .	NONE
Kuten tietoturva-asiantuntija Graham Cluley huomauttaa , tässä on jälleen yksi syy , miksi Java-ohjelmistoa ei kannata pitää päällä nettiselaimessa .	Graham Cluley
– Heidän kannattaa olla varuillaan , sillä minulla on haulikko , Paul tokaisi CNN:n videoidussa Snapchat-haastattelussa .	Paul
Tosin CCS Insight-tutkimusyhtiön analyytikko Ben Wood varoittaa luottamasta liian aikaisin uusiin akkukeksintöihin .	Ben Wood
Snowden : NSA myös yrityssalaisuuksien perässä	Snowden
Evleaksin tviitin kommenteissa huomioitiin myös , että näkymä tuo mieleen Nokian N9:n .	Evleaksin
Hänen mukaansa asiakas saa tehdä päätöksen Microsoftin datakeskusten välillä , joista yksi sijaitsee Irlannissa EU-alueella .	NONE
Tämän lisäksi Louise Pentland , Juha Äkräs ja Kai Öistämö jättävät paikkansa Nokian johtokunnassa toukokuun alussa ja samalla koko yhtiön .	Louise Pentland, Juha Äkräs, Kai Öistämö
Litchfield kertoo Twitterissä olevansa löydöksestään järkyttynyt .	Litchfield
Asiasta uutisoi muun muassa PCMag .	NONE
Nguyen vakuuttaa päätöksen olevan altruistinen .	Nguyen
Forss sanoo , että noin puolet nettipoliisin jutuista liittyy yli 18-vuotta täyttäneisiin henkilöihin .	Forss
Twitter puolestaan löytynee Wilsonin mukaan hyvältä sijalta top10:ssä , vaikka yhtiöllä tuntuu olevan sitkeä ongelma rahan tekemisessä .	Wilsonin
Target-kauppaketjun murtaneet rikolliset pystyttivät itselleen palvelimen suoraan ketjun sisäiseen verkkoon , Brian Krebs sai selville .	Brian Krebs
Sellaisia ovet esimerkiksi Jupiteria kiertävä Ganymede ja Saturnusta kiertävä Enceladus .	NONE
– Ennen vanhaan puhuttiin sosialisoinnista .	NONE
Tietoturva-asiantuntija Daniel Wood julkaisi tiedon sovelluksen suojaamattomuudesta , kun ei onnistunut kertomaan siitä yritykselle .	Daniel Wood
Esko Yliruusi työskenteli tablettiprojektissa vuodenvaihteesta 2000/2001 hankkeen lopettamiseen asti vuoden 2001 loppukesään .	Esko Yliruusi
Tässäkö Applen loppuvuoden julkistukset ?	NONE
